Filename,Status,Rules Checked,Rules Passed,Rules Failed,Failed Rules List,Est. Max Penalty (INR)
sample_10_garam_masala_powder.png,FAIL,11,1,9,"PANEL_DETECTION, RULE_6_1_A, RULE_6_1_B, RULE_6_1_C, RULE_6_1_D, RULE_6_1_E_MRP, RULE_6_1_G, RULE_6_11_USP, FSSAI_14DIGIT, SCHEDULE_II_FONT",725000
sample_1_instant_masala_noodles.png,FAIL,11,6,4,"PANEL_DETECTION, RULE_6_1_G, RULE_6_11_USP, FSSAI_VEG_NONVEG, SCHEDULE_II_FONT",0
sample_2_potato_chips_cream_&_onion.png,FAIL,11,1,9,"PANEL_DETECTION, RULE_6_1_A, RULE_6_1_B, RULE_6_1_D, RULE_6_1_E_MRP, RULE_6_1_G, RULE_6_11_USP, FSSAI_14DIGIT, FSSAI_VEG_NONVEG, SCHEDULE_II_FONT",625000
sample_3_cold_pressed_mustard_oil.png,FAIL,11,6,4,"PANEL_DETECTION, RULE_6_1_G, RULE_6_11_USP, FSSAI_VEG_NONVEG, SCHEDULE_II_FONT",0
sample_4_premium_full_cream_milk.png,FAIL,11,5,5,"PANEL_DETECTION, RULE_6_1_B, RULE_6_1_G, RULE_6_11_USP, FSSAI_VEG_NONVEG, SCHEDULE_II_FONT",0
sample_5_mixed_fruit_jam.png,FAIL,14,11,2,"PANEL_DETECTION, FSSAI_NI_ENERGY, FSSAI_NI_SODIUM",600000
sample_6_spicy_chicken_sausage.png,FAIL,12,6,5,"PANEL_DETECTION, RULE_6_1_B, RULE_6_11_USP, RULE_6_1_F_COO, FSSAI_VEG_NONVEG, SCHEDULE_II_FONT",0
sample_7_tomato_ketchup.png,FAIL,11,1,9,"PANEL_DETECTION, RULE_6_1_A, RULE_6_1_B, RULE_6_1_C, RULE_6_1_D, RULE_6_1_E_MRP, RULE_6_1_G, RULE_6_11_USP, FSSAI_14DIGIT, SCHEDULE_II_FONT",725000
sample_8_rich_chocolate_chip_cookies.png,FAIL,11,1,9,"PANEL_DETECTION, RULE_6_1_A, RULE_6_1_B, RULE_6_1_D, RULE_6_1_E_MRP, RULE_6_1_G, RULE_6_11_USP, FSSAI_14DIGIT, FSSAI_VEG_NONVEG, SCHEDULE_II_FONT",625000
sample_9_carbonated_cola_beverage.png,FAIL,14,11,2,"PANEL_DETECTION, FSSAI_NI_ENERGY, FSSAI_NI_SODIUM",600000
